"","Location","Denomination","Month","Weekday","Type","Theme","Age","Promotion","Coupons","Weather","Coin.in"
"108","1st Floor - Front","Dollar","Nov","Thursday","5 Reel","American",18,"New Player","None","dead",673
"109","1st Floor - Front","Dollar","Nov","Friday","4 Reel","Food",2,"Monthy Player","None","revolting",445
"110","1st Floor - Front","Two Dollar","Jan","Tuesday","Progressive","Food",7,"Daily Special","None","wet",1089
"111","1st Floor - Front","Two Dollar","Feb","Monday","Progressive","Animals",14,"Monthy Player","None","steamy",1101
"114","1st Floor - Front","Two Dollar","Jun","Monday","5 Reel","Entertainment",2,"VIP","None","hot",17
"115","1st Floor - Front","Two Dollar","Jun","Tuesday","Progressive","Love",4,"Daily Special","None","sunny",1497
"116","1st Floor - Front","Two Dollar","Jul","Thursday","5 Reel","Fairy Tale",6,"Daily Special","None","revolting",1146
"117","1st Floor - Front","Two Dollar","Aug","Friday","Bonus Video","Movies",18,"New Player","None","balmy",545
"120","1st Floor - Front","Two Dollar","Sep","Thursday","5 Reel","Sea",13,"Monthy Player","None","windy",920
"122","1st Floor - Front","Two Dollar","Oct","Sunday","4 Reel","Food",3,"Daily Special","None","clear",181
"123","1st Floor - Front","Two Dollar","Oct","Sunday","5 Reel","Magic",9,"Daily Special","None","balmy",219
"125","1st Floor - Front","Two Dollar","Nov","Wednesday","4 Reel","Love",19,"VIP","None","sunny",268
"127","1st Floor - Front","Two Dollar","Nov","Sunday","Progressive","Fruit",8,"Monthy Player","None","balmy",655
"128","1st Floor - Front","Two Dollar","Dec","Wednesday","5 Reel","American",3,"Daily Special","None","close",1329
"129","1st Floor - Front","Two Dollar","Dec","Sunday","Progressive","Sea",14,"Daily Special","None","calm",795
"131","1st Floor - Front","Five Dollar","Apr","Wednesday","Bonus Video","Retro",3,"Monthy Player","None","showery",690
"132","1st Floor - Front","Five Dollar","Apr","Sunday","5 Reel","Fruit",13,"Monthy Player","None","sultry",420
"133","1st Floor - Front","Five Dollar","May","Wednesday","5 Reel","Sea",8,"None","None","wet",1108
"134","1st Floor - Front","Five Dollar","May","Friday","5 Reel","Adventure",6,"New Player","None","drizzly",573
"135","1st Floor - Front","Five Dollar","Aug","Friday","4 Reel","Travel",16,"None","None","revolting",1257
"137","1st Floor - Front","Five Dollar","Aug","Friday","Bonus Video","Animals",12,"None","None","clear",959
"138","1st Floor - Front","Five Dollar","Aug","Sunday","Progressive","Food",1,"Monthy Player","None","tempestuous",647
"139","1st Floor - Front","Five Dollar","Sep","Friday","5 Reel","History",1,"VIP","None","frosty",1245
"142","1st Floor - Front","Ten Dollar","Feb","Friday","5 Reel","Classic Symbols",5,"Monthy Player","None","tempestuous",827
"143","1st Floor - Front","Ten Dollar","Feb","Friday","Progressive","Horror",18,"Monthy Player","None","hot",1379
"144","1st Floor - Front","Ten Dollar","Mar","Monday","4 Reel","Other",14,"None","None","balmy",453
"145","1st Floor - Front","Ten Dollar","Mar","Thursday","5 Reel","Magic",19,"VIP","None","windy",1315
"147","1st Floor - Front","Ten Dollar","May","Monday","5 Reel","Adventure",10,"None","None","good",743
"148","1st Floor - Front","Ten Dollar","May","Thursday","4 Reel","Fruit",1,"Monthy Player","None","cold",1372
"149","1st Floor - Front","Ten Dollar","Jun","Monday","Bonus Video","Magic",19,"Daily Special","None","rainy",882
"151","1st Floor - Front","Ten Dollar","Jul","Monday","5 Reel","Riches",1,"Monthy Player","None","hot",93
"153","1st Floor - Front","Ten Dollar","Aug","Wednesday","Bonus Video","Regional",18,"None","None","steamy",1052
"154","1st Floor - Front","Ten Dollar","Sep","Friday","5 Reel","Travel",16,"None","None","damp",733
"156","1st Floor - Front","Ten Dollar","Dec","Tuesday","4 Reel","Animals",20,"Monthy Player","None","balmy",181
"160","1st Floor - Front","Twenty Five Dollar","Mar","Thursday","Bonus Video","American",18,"Monthy Player","None","damp",126
"161","1st Floor - Front","Twenty Five Dollar","Apr","Wednesday","Progressive","Movies",15,"New Player","None","bitter",1088
"162","1st Floor - Front","Twenty Five Dollar","Apr","Thursday","4 Reel","Other",1,"Daily Special","None","close",77
"163","1st Floor - Front","Twenty Five Dollar","May","Monday","Progressive","Fairy Tale",2,"VIP","None","humid",135
"164","1st Floor - Front","Twenty Five Dollar","Aug","Monday","Progressive","Other",9,"None","None","rainy",442
"165","1st Floor - Front","Twenty Five Dollar","Aug","Friday","Bonus Video","Magic",17,"Daily Special","None","hot",846
"166","1st Floor - Front","Twenty Five Dollar","Aug","Sunday","4 Reel","Classic Symbols",4,"Monthy Player","None","good",1104
"167","1st Floor - Front","Twenty Five Dollar","Oct","Sunday","5 Reel","Casinos",18,"Monthy Player","None","mild",96
"169","1st Floor - Front","Fifty Dollar","Jan","Monday","5 Reel","Fairy Tale",1,"VIP","None","cloudy",699
"170","1st Floor - Front","Fifty Dollar","Jan","Monday","Progressive","Animals",12,"Monthy Player","None","hot",449
"172","1st Floor - Front","Fifty Dollar","Jan","Wednesday","Bonus Video","Magic",2,"None","None","revolting",852
"173","1st Floor - Front","Fifty Dollar","Feb","Tuesday","5 Reel","Fairy Tale",14,"None","None","hot",1176
"175","1st Floor - Front","Fifty Dollar","Mar","Wednesday","4 Reel","Regional",19,"None","None","bitter",719
"176","1st Floor - Front","Fifty Dollar","Mar","Wednesday","5 Reel","Other",2,"New Player","None","cloudy",641
"177","1st Floor - Front","Fifty Dollar","May","Thursday","4 Reel","Fruit",20,"Daily Special","None","steamy",868
"178","1st Floor - Front","Fifty Dollar","Aug","Friday","Progressive","Movies",14,"VIP","None","misty",1047
"179","1st Floor - Front","Fifty Dollar","Oct","Friday","4 Reel","History",9,"None","None","misty",942
"180","1st Floor - Front","Fifty Dollar","Dec","Tuesday","Progressive","Sea",14,"None","None","raw",690
"182","1st Floor - Front","Hundred Dollar","Jan","Tuesday","4 Reel","American",18,"Daily Special","None","hot",195
"184","1st Floor - Front","Hundred Dollar","Feb","Thursday","Bonus Video","Fairy Tale",13,"New Player","None","sultry",1387
"185","1st Floor - Front","Hundred Dollar","Mar","Thursday","4 Reel","Horror",8,"Monthy Player","None","stormy",1271
"186","1st Floor - Front","Hundred Dollar","Apr","Monday","5 Reel","Fruit",11,"VIP","None","calm",1127
"187","1st Floor - Front","Hundred Dollar","Apr","Tuesday","Progressive","Travel",18,"VIP","None","revolting",180
"189","1st Floor - Front","Hundred Dollar","Jun","Monday","4 Reel","Adventure",3,"New Player","None","dark",757
"191","1st Floor - Front","Hundred Dollar","Jun","Sunday","Bonus Video","Travel",6,"Daily Special","None","cold",360
"192","1st Floor - Front","Hundred Dollar","Jul","Friday","4 Reel","Love",2,"None","None","good",295
"196","1st Floor - Front","Hundred Dollar","Dec","Tuesday","Bonus Video","Other",16,"Daily Special","None","sultry",667
"198","1st Floor - Middle","Penny","Jan","Sunday","4 Reel","Classic Symbols",13,"Monthy Player","None","rainy",1252
"199","1st Floor - Middle","Penny","Feb","Monday","4 Reel","Retro",10,"Monthy Player","None","snow",1242
"200","1st Floor - Middle","Penny","Apr","Friday","5 Reel","Fairy Tale",15,"None","None","scorching",185
"201","1st Floor - Middle","Penny","May","Monday","Progressive","Casinos",2,"Monthy Player","None","tempestuous",388
"203","1st Floor - Middle","Penny","Aug","Wednesday","Progressive","Regional",8,"New Player","None","snow",709
"204","1st Floor - Middle","Penny","Sep","Friday","4 Reel","Entertainment",20,"None","None","humid",109
"205","1st Floor - Middle","Penny","Oct","Thursday","5 Reel","Animals",11,"None","None","stormy",777
"206","1st Floor - Middle","Penny","Oct","Sunday","Progressive","Entertainment",4,"None","None","dead",1453
"208","1st Floor - Middle","Two Cent","Jan","Monday","5 Reel","Entertainment",19,"VIP","None","blusterous",1040
"209","1st Floor - Middle","Two Cent","Feb","Monday","4 Reel","Regional",14,"None","None","cold",105
"210","1st Floor - Middle","Two Cent","Mar","Monday","Progressive","Regional",20,"Daily Special","None","snow",620
"211","1st Floor - Middle","Two Cent","Mar","Tuesday","Bonus Video","Fruit",17,"Monthy Player","None","showery",1449
"212","1st Floor - Middle","Two Cent","Mar","Friday","4 Reel","Sea",10,"Monthy Player","None","good",337
"213","1st Floor - Middle","Two Cent","Apr","Monday","4 Reel","Retro",6,"Monthy Player","None","dark",327
"214","1st Floor - Middle","Two Cent","Apr","Tuesday","Bonus Video","Retro",2,"Daily Special","None","hazy",1298
"216","1st Floor - Middle","Two Cent","Jun","Wednesday","Bonus Video","Regional",13,"New Player","None","bitter",153
"218","1st Floor - Middle","Two Cent","Jul","Tuesday","4 Reel","Animals",7,"VIP","None","sunny",974
"219","1st Floor - Middle","Two Cent","Aug","Sunday","4 Reel","Retro",9,"Daily Special","None","muggy",1286
"220","1st Floor - Middle","Two Cent","Aug","Sunday","Bonus Video","Food",6,"Monthy Player","None","mild",967
"221","1st Floor - Middle","Two Cent","Sep","Thursday","Progressive","Casinos",10,"None","None","drizzly",477
"223","1st Floor - Middle","Two Cent","Oct","Monday","4 Reel","Riches",15,"Daily Special","None","bad",1033
"225","1st Floor - Middle","Two Cent","Nov","Tuesday","5 Reel","Travel",1,"Monthy Player","None","tempestuous",1297
"228","1st Floor - Middle","Nickel","Jan","Friday","Bonus Video","Fairy Tale",16,"Monthy Player","None","cold",1236
"230","1st Floor - Middle","Nickel","Mar","Monday","Progressive","Fairy Tale",18,"New Player","None","hot",495
"232","1st Floor - Middle","Nickel","Mar","Friday","Progressive","Horror",13,"None","None","snow",22
"233","1st Floor - Middle","Nickel","Apr","Tuesday","Bonus Video","Casinos",4,"New Player","None","bad",478
"234","1st Floor - Middle","Nickel","Apr","Wednesday","Bonus Video","Riches",9,"VIP","None","misty",780
"235","1st Floor - Middle","Nickel","May","Monday","5 Reel","Love",6,"Monthy Player","None","stormy",630
"236","1st Floor - Middle","Nickel","May","Monday","Bonus Video","Adventure",20,"VIP","None","raw",189
"238","1st Floor - Middle","Nickel","May","Wednesday","Bonus Video","Animals",6,"None","None","bitter",1283
"241","1st Floor - Middle","Nickel","May","Sunday","5 Reel","Casinos",3,"Monthy Player","None","close",102
"242","1st Floor - Middle","Nickel","Jun","Tuesday","Bonus Video","Animals",2,"New Player","None","cloudy",1293
"245","1st Floor - Middle","Nickel","Jul","Thursday","Progressive","Travel",7,"Monthy Player","None","stormy",104
"246","1st Floor - Middle","Nickel","Jul","Sunday","4 Reel","Classic Symbols",12,"VIP","None","icy",1163
"247","1st Floor - Middle","Nickel","Aug","Wednesday","5 Reel","Love",5,"New Player","None","close",204
"249","1st Floor - Middle","Nickel","Nov","Monday","Bonus Video","Fruit",7,"Monthy Player","None","blusterous",1341
"250","1st Floor - Middle","Nickel","Nov","Thursday","5 Reel","Other",3,"None","None","frosty",704
"251","1st Floor - Middle","Nickel","Nov","Thursday","Progressive","Animals",4,"None","None","balmy",548
"252","1st Floor - Middle","Nickel","Nov","Thursday","Progressive","Movies",14,"New Player","None","raw",579
"253","1st Floor - Middle","Dime","Feb","Monday","4 Reel","Horror",11,"Daily Special","None","cloudy",1427
"255","1st Floor - Middle","Dime","Mar","Thursday","Progressive","Food",16,"None","None","bitter",562
"256","1st Floor - Middle","Dime","Apr","Monday","Progressive","American",16,"VIP","None","dark",318
"257","1st Floor - Middle","Dime","Apr","Friday","5 Reel","Movies",4,"None","None","rainy",869
"260","1st Floor - Middle","Dime","Jul","Tuesday","Progressive","Other",3,"VIP","None","crummy",1111
"262","1st Floor - Middle","Dime","Sep","Monday","4 Reel","Regional",9,"Daily Special","None","dead",541
"264","1st Floor - Middle","Dime","Nov","Monday","Progressive","History",17,"None","None","rainy",568
"266","1st Floor - Middle","Dime","Nov","Wednesday","Bonus Video","Horror",12,"New Player","None","warm",543
"267","1st Floor - Middle","Dime","Dec","Monday","5 Reel","Holidays",13,"Monthy Player","None","balmy",1421
"268","1st Floor - Middle","Dime","Dec","Thursday","4 Reel","Entertainment",7,"Monthy Player","None","cloudy",1028
"269","1st Floor - Middle","Dime","Dec","Friday","Bonus Video","Entertainment",1,"VIP","None","hazy",170
"271","1st Floor - Middle","Quarter","Jan","Thursday","4 Reel","Adventure",3,"Monthy Player","None","close",916
"272","1st Floor - Middle","Quarter","Jan","Friday","5 Reel","Sea",16,"Monthy Player","None","misty",1116
"275","1st Floor - Middle","Quarter","Mar","Friday","5 Reel","Movies",19,"New Player","None","dark",451
"276","1st Floor - Middle","Quarter","Apr","Thursday","4 Reel","Travel",18,"New Player","None","arid",253
"277","1st Floor - Middle","Quarter","Jun","Wednesday","Progressive","Holidays",18,"New Player","None","damp",428
"278","1st Floor - Middle","Quarter","Jul","Monday","Bonus Video","Holidays",14,"VIP","None","cloudy",647
"282","1st Floor - Middle","Quarter","Sep","Thursday","4 Reel","Riches",4,"None","None","cloudy",1232
"284","1st Floor - Middle","Quarter","Nov","Sunday","Progressive","Magic",11,"New Player","None","rainy",13
"285","1st Floor - Middle","Quarter","Dec","Monday","4 Reel","Movies",12,"Daily Special","None","dead",991
"286","1st Floor - Middle","Quarter","Dec","Friday","Progressive","Classic Symbols",4,"Monthy Player","None","hot",997
"287","1st Floor - Middle","Quarter","Dec","Friday","Progressive","Holidays",15,"None","None","close",2
"288","1st Floor - Middle","Quarter","Dec","Friday","Progressive","Horror",15,"None","None","close",844
"290","1st Floor - Middle","Half Dollar","Mar","Monday","4 Reel","Other",7,"VIP","None","drizzly",1010
"292","1st Floor - Middle","Half Dollar","May","Monday","4 Reel","Food",18,"New Player","None","bad",1021
"294","1st Floor - Middle","Half Dollar","May","Thursday","4 Reel","Fruit",13,"New Player","None","wet",1133
"298","1st Floor - Middle","Half Dollar","Jun","Friday","5 Reel","Adventure",16,"Daily Special","None","showery",738
"299","1st Floor - Middle","Half Dollar","Jul","Monday","4 Reel","Entertainment",7,"Daily Special","None","revolting",926
"303","1st Floor - Middle","Half Dollar","Nov","Sunday","Bonus Video","Love",2,"Daily Special","None","cloudy",672
"305","1st Floor - Middle","Half Dollar","Dec","Wednesday","5 Reel","Horror",12,"Monthy Player","None","dead",777
"307","1st Floor - Middle","Half Dollar","Dec","Friday","Bonus Video","Regional",9,"None","None","scorching",664
"308","1st Floor - Middle","Dollar","Feb","Sunday","4 Reel","Classic Symbols",9,"Daily Special","None","blusterous",305
"309","1st Floor - Middle","Dollar","Mar","Wednesday","Bonus Video","Entertainment",18,"New Player","None","tempestuous",543
"310","1st Floor - Middle","Dollar","Apr","Monday","5 Reel","Casinos",4,"VIP","None","sultry",553
"311","1st Floor - Middle","Dollar","Apr","Sunday","5 Reel","American",10,"Monthy Player","None","bad",798
"314","1st Floor - Middle","Dollar","Jun","Tuesday","Bonus Video","Horror",3,"None","None","dead",993
"318","1st Floor - Middle","Dollar","Oct","Sunday","4 Reel","Fairy Tale",11,"Monthy Player","None","raw",718
"320","1st Floor - Middle","Two Dollar","Jan","Wednesday","Progressive","Fruit",9,"VIP","None","good",695
"321","1st Floor - Middle","Two Dollar","Jan","Thursday","Progressive","Animals",15,"None","None","stormy",750
"322","1st Floor - Middle","Two Dollar","Feb","Monday","5 Reel","Holidays",10,"Monthy Player","None","showery",40
"323","1st Floor - Middle","Two Dollar","Feb","Thursday","Progressive","Entertainment",15,"Daily Special","None","arid",787
"324","1st Floor - Middle","Two Dollar","Feb","Thursday","Progressive","Regional",4,"New Player","None","scorching",1392
"325","1st Floor - Middle","Two Dollar","Feb","Sunday","Progressive","Fruit",4,"New Player","None","sunny",865
"326","1st Floor - Middle","Two Dollar","Mar","Wednesday","Bonus Video","Retro",20,"Monthy Player","None","icy",1336
"328","1st Floor - Middle","Two Dollar","May","Friday","4 Reel","Love",6,"VIP","None","balmy",1276
"329","1st Floor - Middle","Two Dollar","Jun","Tuesday","5 Reel","Fruit",4,"None","None","frosty",1229
"330","1st Floor - Middle","Two Dollar","Jun","Friday","5 Reel","Casinos",6,"Daily Special","None","humid",110
"331","1st Floor - Middle","Two Dollar","Jul","Sunday","4 Reel","History",1,"Daily Special","None","revolting",1406
"332","1st Floor - Middle","Two Dollar","Aug","Tuesday","Bonus Video","Horror",12,"New Player","None","sunny",1135
"333","1st Floor - Middle","Two Dollar","Aug","Thursday","4 Reel","Food",16,"VIP","None","windy",1099
"335","1st Floor - Middle","Two Dollar","Oct","Monday","Bonus Video","Food",10,"None","None","hazy",172
"336","1st Floor - Middle","Two Dollar","Oct","Wednesday","5 Reel","Sea",14,"Monthy Player","None","muggy",1308
"338","1st Floor - Middle","Two Dollar","Nov","Friday","5 Reel","Holidays",14,"None","None","drizzly",190
"339","1st Floor - Middle","Two Dollar","Dec","Wednesday","Bonus Video","Other",18,"New Player","None","crummy",1328
"340","1st Floor - Middle","Five Dollar","Jan","Thursday","4 Reel","Movies",10,"New Player","None","blusterous",1445
"341","1st Floor - Middle","Five Dollar","Feb","Sunday","Bonus Video","Horror",5,"Daily Special","None","crummy",1027
"342","1st Floor - Middle","Five Dollar","Mar","Wednesday","5 Reel","Love",4,"New Player","None","raw",1419
"343","1st Floor - Middle","Five Dollar","Mar","Friday","5 Reel","Adventure",16,"None","None","hot",1312
"344","1st Floor - Middle","Five Dollar","Apr","Thursday","4 Reel","Travel",17,"VIP","None","tempestuous",456
"345","1st Floor - Middle","Five Dollar","Apr","Sunday","Progressive","American",9,"Monthy Player","None","cloudy",237
"346","1st Floor - Middle","Five Dollar","May","Monday","Bonus Video","Travel",20,"Daily Special","None","hot",538
"347","1st Floor - Middle","Five Dollar","May","Tuesday","4 Reel","Casinos",18,"Monthy Player","None","dead",576
"349","1st Floor - Middle","Five Dollar","Jun","Monday","5 Reel","Love",13,"None","None","mild",899
"350","1st Floor - Middle","Five Dollar","Jun","Monday","Progressive","Food",10,"None","None","arid",556
"352","1st Floor - Middle","Five Dollar","Jun","Sunday","Bonus Video","Sea",7,"Daily Special","None","revolting",816
"353","1st Floor - Middle","Five Dollar","Jul","Monday","4 Reel","Sea",19,"Monthy Player","None","sunny",1433
"354","1st Floor - Middle","Five Dollar","Jul","Friday","4 Reel","Food",17,"New Player","None","sultry",383
"356","1st Floor - Middle","Five Dollar","Nov","Friday","Bonus Video","Sea",11,"Monthy Player","None","wet",633
"357","1st Floor - Middle","Five Dollar","Dec","Wednesday","4 Reel","Retro",17,"Monthy Player","None","crummy",755
"358","1st Floor - Middle","Five Dollar","Dec","Friday","5 Reel","Animals",17,"Daily Special","None","clear",473
"361","1st Floor - Middle","Ten Dollar","Apr","Monday","5 Reel","Entertainment",12,"Monthy Player","None","frosty",398
"362","1st Floor - Middle","Ten Dollar","Apr","Monday","Bonus Video","Adventure",19,"Monthy Player","None","balmy",622
"363","1st Floor - Middle","Ten Dollar","Apr","Sunday","Bonus Video","Movies",12,"VIP","None","humid",1023
"366","1st Floor - Middle","Ten Dollar","Jul","Tuesday","5 Reel","Holidays",12,"New Player","None","scorching",267
"367","1st Floor - Middle","Ten Dollar","Jul","Friday","Bonus Video","Movies",10,"Daily Special","None","dead",783
"374","1st Floor - Middle","Twenty Five Dollar","Feb","Friday","Progressive","Adventure",20,"Monthy Player","None","calm",929
"375","1st Floor - Middle","Twenty Five Dollar","Feb","Sunday","Progressive","American",18,"Monthy Player","None","hazy",1385
"376","1st Floor - Middle","Twenty Five Dollar","Mar","Thursday","Progressive","Adventure",7,"New Player","None","hot",478
"378","1st Floor - Middle","Twenty Five Dollar","Apr","Monday","Bonus Video","Regional",8,"New Player","None","tempestuous",829
"379","1st Floor - Middle","Twenty Five Dollar","Apr","Wednesday","5 Reel","Casinos",3,"VIP","None","scorching",864
"380","1st Floor - Middle","Twenty Five Dollar","Aug","Tuesday","4 Reel","History",16,"Monthy Player","None","rainy",62
"381","1st Floor - Middle","Twenty Five Dollar","Oct","Friday","Bonus Video","Retro",7,"None","None","arid",25
"383","1st Floor - Middle","Twenty Five Dollar","Nov","Monday","4 Reel","Casinos",5,"New Player","None","calm",66
"385","1st Floor - Middle","Twenty Five Dollar","Nov","Tuesday","Bonus Video","Movies",12,"New Player","None","close",782
"386","1st Floor - Middle","Twenty Five Dollar","Nov","Wednesday","5 Reel","Magic",3,"VIP","None","cold",401
"387","1st Floor - Middle","Twenty Five Dollar","Nov","Sunday","5 Reel","Fairy Tale",7,"New Player","None","crummy",801
"388","1st Floor - Middle","Twenty Five Dollar","Dec","Wednesday","Progressive","Travel",9,"VIP","None","calm",1468
"391","1st Floor - Middle","Fifty Dollar","Mar","Wednesday","Progressive","History",18,"VIP","None","scorching",1199
"392","1st Floor - Middle","Fifty Dollar","Mar","Sunday","5 Reel","Other",11,"None","None","raw",828
