Location,Denomination,Month,Weekday,Type,Theme,Age,Promotion,Coupons,Weather,Coin-in
1st Floor - Front,Dime,Jan,Sunday,4 Reel,Other,19,None,None,cold,1730
1st Floor - Front,Dime,Feb,Tuesday,Bonus Video,Travel,6,Daily Special,None,raw,402
1st Floor - Front,Dime,Feb,Thursday,5 Reel,Other,1,Monthy Player,None,humid,1121
1st Floor - Front,Dime,Feb,Thursday,Bonus Video,Movies,18,Monthy Player,None,hazy,1694
1st Floor - Front,Dime,Feb,Friday,Bonus Video,Classic Symbols,3,Monthy Player,None,arid,2175
1st Floor - Front,Dime,Mar,Tuesday,Progressive,Fruit,11,VIP,None,hazy,725
1st Floor - Front,Dime,Mar,Thursday,Bonus Video,Magic,18,None,None,humid,125
1st Floor - Front,Dime,Apr,Wednesday,4 Reel,Fairy Tale,20,VIP,None,hot,1928
1st Floor - Front,Dime,Apr,Wednesday,Bonus Video,Travel,12,Monthy Player,None,dead,1505
1st Floor - Front,Dime,May,Friday,4 Reel,Fairy Tale,10,Daily Special,None,rainy,1036
1st Floor - Front,Dime,Jun,Tuesday,Bonus Video,Entertainment,19,Monthy Player,None,hazy,92
1st Floor - Front,Dime,Jun,Wednesday,5 Reel,Holidays,7,New Player,None,muggy,2182
1st Floor - Front,Dime,Jun,Sunday,Bonus Video,American,12,None,None,stormy,1489
1st Floor - Front,Dime,Jul,Wednesday,4 Reel,Magic,16,VIP,None,dead,1241
1st Floor - Front,Dime,Jul,Friday,4 Reel,Casinos,20,New Player,None,bitter,791
1st Floor - Front,Dime,Aug,Sunday,5 Reel,Movies,17,VIP,None,windy,712
1st Floor - Front,Dime,Sep,Thursday,Bonus Video,Fairy Tale,19,VIP,None,dark,1647
1st Floor - Front,Dime,Nov,Tuesday,5 Reel,History,9,Daily Special,None,hazy,1806
1st Floor - Front,Dime,Dec,Monday,5 Reel,Food,19,None,None,arid,1980
1st Floor - Front,Quarter,Jan,Thursday,Progressive,Holidays,16,Daily Special,None,clear,181
1st Floor - Front,Quarter,Feb,Thursday,4 Reel,Holidays,4,VIP,None,snow,28
1st Floor - Front,Quarter,Feb,Sunday,4 Reel,Regional,12,Daily Special,None,humid,958
1st Floor - Front,Quarter,Mar,Tuesday,4 Reel,Classic Symbols,6,Daily Special,None,raw,2035
1st Floor - Front,Quarter,Mar,Friday,Bonus Video,Fairy Tale,13,Monthy Player,None,arid,2179
1st Floor - Front,Quarter,Mar,Sunday,4 Reel,History,2,New Player,None,sunny,1714
1st Floor - Front,Quarter,Mar,Sunday,4 Reel,Travel,10,New Player,None,misty,336
1st Floor - Front,Quarter,Jun,Friday,5 Reel,Retro,17,Monthy Player,None,raw,686
1st Floor - Front,Quarter,Sep,Wednesday,4 Reel,Movies,12,None,None,crummy,1853
1st Floor - Front,Quarter,Oct,Wednesday,Bonus Video,Holidays,1,Daily Special,None,tempestuous,906
1st Floor - Front,Quarter,Nov,Monday,Progressive,Classic Symbols,2,Monthy Player,None,humid,1799
1st Floor - Front,Quarter,Dec,Tuesday,4 Reel,Fruit,3,New Player,None,stormy,927
1st Floor - Front,Quarter,Dec,Thursday,5 Reel,Holidays,12,VIP,None,scorching,1287
1st Floor - Front,Quarter,Dec,Sunday,5 Reel,Horror,5,New Player,None,wet,1816
1st Floor - Front,Half Dollar,Mar,Monday,Bonus Video,Retro,14,Monthy Player,None,arid,249
1st Floor - Front,Half Dollar,Mar,Tuesday,5 Reel,Travel,11,Daily Special,None,scorching,379
1st Floor - Front,Half Dollar,May,Monday,5 Reel,American,9,VIP,None,good,1989
1st Floor - Front,Half Dollar,May,Sunday,5 Reel,Magic,8,None,None,muggy,806
1st Floor - Front,Half Dollar,Jun,Monday,5 Reel,Adventure,20,VIP,None,calm,2182
1st Floor - Front,Half Dollar,Jun,Tuesday,5 Reel,Food,16,New Player,None,damp,1081
1st Floor - Front,Half Dollar,Jun,Friday,4 Reel,Fairy Tale,4,Daily Special,None,blusterous,1266
1st Floor - Front,Half Dollar,Sep,Monday,Progressive,Movies,12,Daily Special,None,mild,1879
1st Floor - Front,Half Dollar,Oct,Thursday,4 Reel,Regional,18,None,None,rainy,508
1st Floor - Front,Half Dollar,Nov,Friday,Progressive,Other,1,New Player,None,dark,690
1st Floor - Front,Half Dollar,Nov,Sunday,4 Reel,Retro,7,New Player,None,cloudy,552
1st Floor - Front,Half Dollar,Nov,Sunday,5 Reel,Fairy Tale,18,Monthy Player,None,misty,640
1st Floor - Front,Half Dollar,Nov,Sunday,5 Reel,Food,3,VIP,None,damp,1271
1st Floor - Front,Half Dollar,Dec,Wednesday,4 Reel,Animals,5,None,None,cloudy,110
1st Floor - Front,Half Dollar,Dec,Friday,Bonus Video,Riches,6,New Player,None,arid,1818
1st Floor - Front,Dollar,Jan,Sunday,5 Reel,Magic,16,Monthy Player,None,showery,953
1st Floor - Front,Dollar,May,Tuesday,Progressive,Other,5,New Player,None,mild,1833
1st Floor - Front,Dollar,Aug,Sunday,5 Reel,Travel,2,None,None,close,1657
1st Floor - Front,Dollar,Sep,Thursday,4 Reel,Entertainment,14,Daily Special,None,tempestuous,2196
1st Floor - Front,Dollar,Oct,Monday,Progressive,Regional,3,Daily Special,None,misty,298
1st Floor - Front,Dollar,Nov,Thursday,5 Reel,American,18,New Player,None,dead,673
1st Floor - Front,Dollar,Nov,Friday,4 Reel,Food,2,Monthy Player,None,revolting,445
1st Floor - Front,Two Dollar,Jan,Tuesday,Progressive,Food,7,Daily Special,None,wet,1089
1st Floor - Front,Two Dollar,Feb,Monday,Progressive,Animals,14,Monthy Player,None,steamy,1101
1st Floor - Front,Two Dollar,May,Monday,Progressive,Adventure,11,New Player,None,bad,2024
1st Floor - Front,Two Dollar,May,Tuesday,Progressive,Food,7,VIP,None,arid,1714
1st Floor - Front,Two Dollar,Jun,Monday,5 Reel,Entertainment,2,VIP,None,hot,17
1st Floor - Front,Two Dollar,Jun,Tuesday,Progressive,Love,4,Daily Special,None,sunny,1497
1st Floor - Front,Two Dollar,Jul,Thursday,5 Reel,Fairy Tale,6,Daily Special,None,revolting,1146
1st Floor - Front,Two Dollar,Aug,Friday,Bonus Video,Movies,18,New Player,None,balmy,545
1st Floor - Front,Two Dollar,Sep,Monday,Progressive,Food,14,Daily Special,None,bad,1587
1st Floor - Front,Two Dollar,Sep,Monday,Progressive,Regional,11,Daily Special,None,close,1575
1st Floor - Front,Two Dollar,Sep,Thursday,5 Reel,Sea,13,Monthy Player,None,windy,920
1st Floor - Front,Two Dollar,Oct,Monday,4 Reel,Classic Symbols,6,Daily Special,None,hazy,1657
1st Floor - Front,Two Dollar,Oct,Sunday,4 Reel,Food,3,Daily Special,None,clear,181
1st Floor - Front,Two Dollar,Oct,Sunday,5 Reel,Magic,9,Daily Special,None,balmy,219
1st Floor - Front,Two Dollar,Nov,Monday,5 Reel,Magic,13,VIP,None,scorching,1863
1st Floor - Front,Two Dollar,Nov,Wednesday,4 Reel,Love,19,VIP,None,sunny,268
1st Floor - Front,Two Dollar,Nov,Friday,Bonus Video,Retro,9,Daily Special,None,cloudy,2095
1st Floor - Front,Two Dollar,Nov,Sunday,Progressive,Fruit,8,Monthy Player,None,balmy,655
1st Floor - Front,Two Dollar,Dec,Wednesday,5 Reel,American,3,Daily Special,None,close,1329
1st Floor - Front,Two Dollar,Dec,Sunday,Progressive,Sea,14,Daily Special,None,calm,795
1st Floor - Front,Five Dollar,Jan,Tuesday,Progressive,Movies,19,Daily Special,None,scorching,1571
1st Floor - Front,Five Dollar,Apr,Wednesday,Bonus Video,Retro,3,Monthy Player,None,showery,690
1st Floor - Front,Five Dollar,Apr,Sunday,5 Reel,Fruit,13,Monthy Player,None,sultry,420
1st Floor - Front,Five Dollar,May,Wednesday,5 Reel,Sea,8,None,None,wet,1108
1st Floor - Front,Five Dollar,May,Friday,5 Reel,Adventure,6,New Player,None,drizzly,573
1st Floor - Front,Five Dollar,Aug,Friday,4 Reel,Travel,16,None,None,revolting,1257
1st Floor - Front,Five Dollar,Aug,Friday,Progressive,Movies,1,New Player,None,sunny,1776
1st Floor - Front,Five Dollar,Aug,Friday,Bonus Video,Animals,12,None,None,clear,959
1st Floor - Front,Five Dollar,Aug,Sunday,Progressive,Food,1,Monthy Player,None,tempestuous,647
1st Floor - Front,Five Dollar,Sep,Friday,5 Reel,History,1,VIP,None,frosty,1245
1st Floor - Front,Five Dollar,Oct,Friday,Bonus Video,Other,9,VIP,None,bad,1713
1st Floor - Front,Five Dollar,Nov,Wednesday,4 Reel,Animals,20,Daily Special,None,arid,1507
1st Floor - Front,Ten Dollar,Feb,Friday,5 Reel,Classic Symbols,5,Monthy Player,None,tempestuous,827
1st Floor - Front,Ten Dollar,Feb,Friday,Progressive,Horror,18,Monthy Player,None,hot,1379
1st Floor - Front,Ten Dollar,Mar,Monday,4 Reel,Other,14,None,None,balmy,453
1st Floor - Front,Ten Dollar,Mar,Thursday,5 Reel,Magic,19,VIP,None,windy,1315
1st Floor - Front,Ten Dollar,Apr,Friday,5 Reel,Retro,12,New Player,None,humid,1870
1st Floor - Front,Ten Dollar,May,Monday,5 Reel,Adventure,10,None,None,good,743
1st Floor - Front,Ten Dollar,May,Thursday,4 Reel,Fruit,1,Monthy Player,None,cold,1372
1st Floor - Front,Ten Dollar,Jun,Monday,Bonus Video,Magic,19,Daily Special,None,rainy,882
1st Floor - Front,Ten Dollar,Jun,Friday,Bonus Video,Adventure,11,Monthy Player,None,balmy,2063
1st Floor - Front,Ten Dollar,Jul,Monday,5 Reel,Riches,1,Monthy Player,None,hot,93
1st Floor - Front,Ten Dollar,Aug,Wednesday,Bonus Video,Animals,10,Daily Special,None,humid,1739
1st Floor - Front,Ten Dollar,Aug,Wednesday,Bonus Video,Regional,18,None,None,steamy,1052
1st Floor - Front,Ten Dollar,Sep,Friday,5 Reel,Travel,16,None,None,damp,733
1st Floor - Front,Ten Dollar,Sep,Sunday,5 Reel,Entertainment,6,Monthy Player,None,good,2041
1st Floor - Front,Ten Dollar,Dec,Tuesday,4 Reel,Animals,20,Monthy Player,None,balmy,181
1st Floor - Front,Ten Dollar,Dec,Thursday,4 Reel,Sea,16,New Player,None,scorching,1623
1st Floor - Front,Twenty Five Dollar,Jan,Friday,5 Reel,Regional,8,None,None,snow,1665
1st Floor - Front,Twenty Five Dollar,Jan,Sunday,5 Reel,Fairy Tale,7,Monthy Player,None,showery,2062
1st Floor - Front,Twenty Five Dollar,Mar,Thursday,Bonus Video,American,18,Monthy Player,None,damp,126
1st Floor - Front,Twenty Five Dollar,Apr,Wednesday,Progressive,Movies,15,New Player,None,bitter,1088
1st Floor - Front,Twenty Five Dollar,Apr,Thursday,4 Reel,Other,1,Daily Special,None,close,77
1st Floor - Front,Twenty Five Dollar,May,Monday,Progressive,Fairy Tale,2,VIP,None,humid,135
1st Floor - Front,Twenty Five Dollar,Aug,Monday,Progressive,Other,9,None,None,rainy,442
1st Floor - Front,Twenty Five Dollar,Aug,Friday,Bonus Video,Magic,17,Daily Special,None,hot,846
1st Floor - Front,Twenty Five Dollar,Aug,Sunday,4 Reel,Classic Symbols,4,Monthy Player,None,good,1104
1st Floor - Front,Twenty Five Dollar,Oct,Sunday,5 Reel,Casinos,18,Monthy Player,None,mild,96
1st Floor - Front,Twenty Five Dollar,Nov,Sunday,Progressive,History,10,Monthy Player,None,bad,2179
1st Floor - Front,Fifty Dollar,Jan,Monday,5 Reel,Fairy Tale,1,VIP,None,cloudy,699
1st Floor - Front,Fifty Dollar,Jan,Monday,Progressive,Animals,12,Monthy Player,None,hot,449
1st Floor - Front,Fifty Dollar,Jan,Tuesday,Bonus Video,Fruit,5,Daily Special,None,good,1536
1st Floor - Front,Fifty Dollar,Jan,Wednesday,Bonus Video,Magic,2,None,None,revolting,852
1st Floor - Front,Fifty Dollar,Feb,Tuesday,5 Reel,Fairy Tale,14,None,None,hot,1176
1st Floor - Front,Fifty Dollar,Mar,Monday,Bonus Video,Holidays,10,Daily Special,None,arid,1514
1st Floor - Front,Fifty Dollar,Mar,Wednesday,4 Reel,Regional,19,None,None,bitter,719
1st Floor - Front,Fifty Dollar,Mar,Wednesday,5 Reel,Other,2,New Player,None,cloudy,641
1st Floor - Front,Fifty Dollar,May,Thursday,4 Reel,Fruit,20,Daily Special,None,steamy,868
1st Floor - Front,Fifty Dollar,Aug,Friday,Progressive,Movies,14,VIP,None,misty,1047
1st Floor - Front,Fifty Dollar,Oct,Friday,4 Reel,History,9,None,None,misty,942
1st Floor - Front,Fifty Dollar,Dec,Tuesday,Progressive,Sea,14,None,None,raw,690
1st Floor - Front,Fifty Dollar,Dec,Thursday,5 Reel,Horror,13,Monthy Player,None,showery,2155
1st Floor - Front,Hundred Dollar,Jan,Tuesday,4 Reel,American,18,Daily Special,None,hot,195
1st Floor - Front,Hundred Dollar,Feb,Tuesday,Progressive,Travel,11,Daily Special,None,drizzly,1788
1st Floor - Front,Hundred Dollar,Feb,Thursday,Bonus Video,Fairy Tale,13,New Player,None,sultry,1387
1st Floor - Front,Hundred Dollar,Mar,Thursday,4 Reel,Horror,8,Monthy Player,None,stormy,1271
1st Floor - Front,Hundred Dollar,Apr,Monday,5 Reel,Fruit,11,VIP,None,calm,1127
1st Floor - Front,Hundred Dollar,Apr,Tuesday,Progressive,Travel,18,VIP,None,revolting,180
1st Floor - Front,Hundred Dollar,Apr,Wednesday,4 Reel,Horror,9,VIP,None,steamy,2152
1st Floor - Front,Hundred Dollar,Jun,Monday,4 Reel,Adventure,3,New Player,None,dark,757
1st Floor - Front,Hundred Dollar,Jun,Thursday,Bonus Video,Fruit,6,None,None,balmy,2092
1st Floor - Front,Hundred Dollar,Jun,Sunday,Bonus Video,Travel,6,Daily Special,None,cold,360
1st Floor - Front,Hundred Dollar,Jul,Friday,4 Reel,Love,2,None,None,good,295
1st Floor - Front,Hundred Dollar,Sep,Wednesday,4 Reel,Fruit,6,Monthy Player,None,close,1700
1st Floor - Front,Hundred Dollar,Sep,Wednesday,5 Reel,Movies,7,None,None,dark,1895
1st Floor - Front,Hundred Dollar,Sep,Wednesday,Progressive,Riches,14,None,None,clear,2190
1st Floor - Front,Hundred Dollar,Dec,Tuesday,Bonus Video,Other,16,Daily Special,None,sultry,667
1st Floor - Front,Hundred Dollar,Dec,Sunday,4 Reel,Retro,17,New Player,None,misty,2110
1st Floor - Middle,Penny,Jan,Sunday,4 Reel,Classic Symbols,13,Monthy Player,None,rainy,1252
1st Floor - Middle,Penny,Feb,Monday,4 Reel,Retro,10,Monthy Player,None,snow,1242
1st Floor - Middle,Penny,Apr,Friday,5 Reel,Fairy Tale,15,None,None,scorching,185
1st Floor - Middle,Penny,May,Monday,Progressive,Casinos,2,Monthy Player,None,tempestuous,388
1st Floor - Middle,Penny,Jul,Monday,Bonus Video,American,15,VIP,None,damp,2111
1st Floor - Middle,Penny,Aug,Wednesday,Progressive,Regional,8,New Player,None,snow,709
1st Floor - Middle,Penny,Sep,Friday,4 Reel,Entertainment,20,None,None,humid,109
1st Floor - Middle,Penny,Oct,Thursday,5 Reel,Animals,11,None,None,stormy,777
1st Floor - Middle,Penny,Oct,Sunday,Progressive,Entertainment,4,None,None,dead,1453
1st Floor - Middle,Penny,Nov,Monday,5 Reel,Riches,4,None,None,hazy,1542
1st Floor - Middle,Two Cent,Jan,Monday,5 Reel,Entertainment,19,VIP,None,blusterous,1040
1st Floor - Middle,Two Cent,Feb,Monday,4 Reel,Regional,14,None,None,cold,105
1st Floor - Middle,Two Cent,Mar,Monday,Progressive,Regional,20,Daily Special,None,snow,620
1st Floor - Middle,Two Cent,Mar,Tuesday,Bonus Video,Fruit,17,Monthy Player,None,showery,1449
1st Floor - Middle,Two Cent,Mar,Friday,4 Reel,Sea,10,Monthy Player,None,good,337
1st Floor - Middle,Two Cent,Apr,Monday,4 Reel,Retro,6,Monthy Player,None,dark,327
1st Floor - Middle,Two Cent,Apr,Tuesday,Bonus Video,Retro,2,Daily Special,None,hazy,1298
1st Floor - Middle,Two Cent,May,Thursday,Bonus Video,Casinos,11,None,None,rainy,1919
1st Floor - Middle,Two Cent,Jun,Wednesday,Bonus Video,Regional,13,New Player,None,bitter,153
1st Floor - Middle,Two Cent,Jul,Tuesday,4 Reel,Adventure,12,Monthy Player,None,wet,1644
1st Floor - Middle,Two Cent,Jul,Tuesday,4 Reel,Animals,7,VIP,None,sunny,974
1st Floor - Middle,Two Cent,Aug,Sunday,4 Reel,Retro,9,Daily Special,None,muggy,1286
1st Floor - Middle,Two Cent,Aug,Sunday,Bonus Video,Food,6,Monthy Player,None,mild,967
1st Floor - Middle,Two Cent,Sep,Thursday,Progressive,Casinos,10,None,None,drizzly,477
1st Floor - Middle,Two Cent,Sep,Thursday,Progressive,Other,5,VIP,None,bad,1500
1st Floor - Middle,Two Cent,Oct,Monday,4 Reel,Riches,15,Daily Special,None,bad,1033
1st Floor - Middle,Two Cent,Oct,Wednesday,Bonus Video,Fairy Tale,2,New Player,None,damp,1867
1st Floor - Middle,Two Cent,Nov,Tuesday,5 Reel,Travel,1,Monthy Player,None,tempestuous,1297
1st Floor - Middle,Two Cent,Nov,Tuesday,Bonus Video,Travel,14,Monthy Player,None,tempestuous,1524
1st Floor - Middle,Nickel,Jan,Tuesday,5 Reel,Other,20,VIP,None,showery,2017
1st Floor - Middle,Nickel,Jan,Friday,Bonus Video,Fairy Tale,16,Monthy Player,None,cold,1236
1st Floor - Middle,Nickel,Jan,Sunday,Progressive,Movies,18,New Player,None,crummy,2051
1st Floor - Middle,Nickel,Mar,Monday,Progressive,Fairy Tale,18,New Player,None,hot,495
1st Floor - Middle,Nickel,Mar,Tuesday,4 Reel,Regional,5,Monthy Player,None,bitter,1573
1st Floor - Middle,Nickel,Mar,Friday,Progressive,Horror,13,None,None,snow,22
1st Floor - Middle,Nickel,Apr,Tuesday,Bonus Video,Casinos,4,New Player,None,bad,478
1st Floor - Middle,Nickel,Apr,Wednesday,Bonus Video,Riches,9,VIP,None,misty,780
1st Floor - Middle,Nickel,May,Monday,5 Reel,Love,6,Monthy Player,None,stormy,630
1st Floor - Middle,Nickel,May,Monday,Bonus Video,Adventure,20,VIP,None,raw,189
1st Floor - Middle,Nickel,May,Tuesday,Progressive,Horror,13,None,None,muggy,1716
1st Floor - Middle,Nickel,May,Wednesday,Bonus Video,Animals,6,None,None,bitter,1283
1st Floor - Middle,Nickel,May,Friday,4 Reel,Magic,20,None,None,stormy,2114
1st Floor - Middle,Nickel,May,Sunday,4 Reel,Holidays,7,VIP,None,scorching,1535
1st Floor - Middle,Nickel,May,Sunday,5 Reel,Casinos,3,Monthy Player,None,close,102
1st Floor - Middle,Nickel,Jun,Tuesday,Bonus Video,Animals,2,New Player,None,cloudy,1293
1st Floor - Middle,Nickel,Jun,Thursday,Bonus Video,Travel,13,VIP,None,misty,1655
1st Floor - Middle,Nickel,Jul,Thursday,5 Reel,Magic,14,VIP,None,balmy,1627
1st Floor - Middle,Nickel,Jul,Thursday,Progressive,Travel,7,Monthy Player,None,stormy,104
1st Floor - Middle,Nickel,Jul,Sunday,4 Reel,Classic Symbols,12,VIP,None,icy,1163
1st Floor - Middle,Nickel,Aug,Wednesday,5 Reel,Love,5,New Player,None,close,204
1st Floor - Middle,Nickel,Sep,Monday,Progressive,Magic,2,None,None,blusterous,1665
1st Floor - Middle,Nickel,Nov,Monday,Bonus Video,Fruit,7,Monthy Player,None,blusterous,1341
1st Floor - Middle,Nickel,Nov,Thursday,5 Reel,Other,3,None,None,frosty,704
1st Floor - Middle,Nickel,Nov,Thursday,Progressive,Animals,4,None,None,balmy,548
1st Floor - Middle,Nickel,Nov,Thursday,Progressive,Movies,14,New Player,None,raw,579
1st Floor - Middle,Dime,Feb,Monday,4 Reel,Horror,11,Daily Special,None,cloudy,1427
1st Floor - Middle,Dime,Feb,Wednesday,Progressive,Magic,3,New Player,None,hot,1672
1st Floor - Middle,Dime,Mar,Thursday,Progressive,Food,16,None,None,bitter,562
1st Floor - Middle,Dime,Apr,Monday,Progressive,American,16,VIP,None,dark,318
1st Floor - Middle,Dime,Apr,Friday,5 Reel,Movies,4,None,None,rainy,869
1st Floor - Middle,Dime,Apr,Sunday,5 Reel,Love,5,Daily Special,None,arid,2045
1st Floor - Middle,Dime,Jul,Monday,5 Reel,History,16,Daily Special,None,icy,1751
1st Floor - Middle,Dime,Jul,Tuesday,Progressive,Other,3,VIP,None,crummy,1111
1st Floor - Middle,Dime,Jul,Wednesday,5 Reel,Classic Symbols,18,Monthy Player,None,close,1695
1st Floor - Middle,Dime,Sep,Monday,4 Reel,Regional,9,Daily Special,None,dead,541
1st Floor - Middle,Dime,Sep,Friday,4 Reel,Riches,5,VIP,None,calm,2068
1st Floor - Middle,Dime,Nov,Monday,Progressive,History,17,None,None,rainy,568
1st Floor - Middle,Dime,Nov,Wednesday,Progressive,Adventure,11,None,None,revolting,2146
1st Floor - Middle,Dime,Nov,Wednesday,Bonus Video,Horror,12,New Player,None,warm,543
1st Floor - Middle,Dime,Dec,Monday,5 Reel,Holidays,13,Monthy Player,None,balmy,1421
1st Floor - Middle,Dime,Dec,Thursday,4 Reel,Entertainment,7,Monthy Player,None,cloudy,1028
1st Floor - Middle,Dime,Dec,Friday,Bonus Video,Entertainment,1,VIP,None,hazy,170
1st Floor - Middle,Quarter,Jan,Wednesday,5 Reel,Regional,9,VIP,None,mild,2125
1st Floor - Middle,Quarter,Jan,Thursday,4 Reel,Adventure,3,Monthy Player,None,close,916
1st Floor - Middle,Quarter,Jan,Friday,5 Reel,Sea,16,Monthy Player,None,misty,1116
1st Floor - Middle,Quarter,Feb,Wednesday,Bonus Video,American,14,VIP,None,mild,1652
1st Floor - Middle,Quarter,Mar,Monday,Progressive,History,6,Daily Special,None,sunny,2028
1st Floor - Middle,Quarter,Mar,Friday,5 Reel,Movies,19,New Player,None,dark,451
1st Floor - Middle,Quarter,Apr,Thursday,4 Reel,Travel,18,New Player,None,arid,253
1st Floor - Middle,Quarter,Jun,Wednesday,Progressive,Holidays,18,New Player,None,damp,428
1st Floor - Middle,Quarter,Jul,Monday,Bonus Video,Holidays,14,VIP,None,cloudy,647
1st Floor - Middle,Quarter,Jul,Thursday,Progressive,Sea,3,Monthy Player,None,muggy,2072
1st Floor - Middle,Quarter,Sep,Monday,4 Reel,Riches,18,VIP,None,crummy,1671
1st Floor - Middle,Quarter,Sep,Wednesday,Progressive,Riches,5,Daily Special,None,cloudy,2120
1st Floor - Middle,Quarter,Sep,Thursday,4 Reel,Riches,4,None,None,cloudy,1232
